rowid,dataset,_link,_link_activity,_link_activity_label,prefix,iatiidentifier,reportingorg_ref,ref,locationreach_code,locationreach_codename,name_narrative,description_narrative,activitydescription_narrative,administrative,point_srsName,point_pos,exactness_code,exactness_codename,locationclass,locationclass_code,locationclass_codename,featuredesignation_code,featuredesignation_codename,percentage,recipientcountry_codename,Sector
533971,iadb-br,289759.location.1,289759,289759,iadb,XI-IATI-IADB-BR-L1234,XI-IATI-IADB,,1,Activity,"Brazil,Mato Grosso,Mato Grosso",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-6.542274, -37.71294354",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,REFORM / MODERNIZATION OF THE STATE
533972,iadb-br,289759.location.2,289759,289759,iadb,XI-IATI-IADB-BR-L1234,XI-IATI-IADB,,1,Activity,"Brazil,Modelo",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-26.7752383, -53.0525513",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,REFORM / MODERNIZATION OF THE STATE
533973,iadb-br,289759.location.3,289759,289759,iadb,XI-IATI-IADB-BR-L1234,XI-IATI-IADB,,1,Activity,"Brazil,Modelo,Mato Grosso",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-21.0463839, -47.3769631",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,REFORM / MODERNIZATION OF THE STATE
533974,iadb-br,289760.location.0,289760,289760,iadb,XI-IATI-IADB-BR-L1207,XI-IATI-IADB,,1,Activity,"Brazil,Rio Grande",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-32.0334252, -52.0991297",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,REFORM / MODERNIZATION OF THE STATE
533977,iadb-br,289760.location.1,289760,289760,iadb,XI-IATI-IADB-BR-L1207,XI-IATI-IADB,,1,Activity,"Brazil,Se",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"49.6026265, 6.1338866",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,REFORM / MODERNIZATION OF THE STATE
533975,iadb-gy,289830.location.0,289830,289830,iadb,XI-IATI-IADB-GY-L1060,XI-IATI-IADB,,1,Activity,"Guyana, VLISSINGEN ROAD AND D'URBAN STREET, P.O. BOX 1001, GEORGETOWN",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"19.29657, -81.38175",2,Approximate,,,,PPLC,capital of a political entity,,Guyana,AGRICULTURE AND RURAL DEVELOPMENT
533976,iadb-br,289629.location.0,289629,289629,iadb,XI-IATI-IADB-BR-L1560,XI-IATI-IADB,,1,Activity,"Brazil,Cear ",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-5.3264703, -39.7156073",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,REFORM / MODERNIZATION OF THE STATE
533978,iadb-br,289761.location.0,289761,289761,iadb,XI-IATI-IADB-BR-L1374,XI-IATI-IADB,,1,Activity,"Brazil,Alagoa",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-22.1697202, -44.6400042",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,REFORM / MODERNIZATION OF THE STATE
533988,iadb-br,289761.location.1,289761,289761,iadb,XI-IATI-IADB-BR-L1374,XI-IATI-IADB,,1,Activity,"Brazil,Alagoas",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-9.6611661, -36.6502426",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,REFORM / MODERNIZATION OF THE STATE
533989,iadb-br,289761.location.2,289761,289761,iadb,XI-IATI-IADB-BR-L1374,XI-IATI-IADB,,1,Activity,"Brazil,Modelo",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-26.7752383, -53.0525513",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,REFORM / MODERNIZATION OF THE STATE
533990,iadb-br,289761.location.3,289761,289761,iadb,XI-IATI-IADB-BR-L1374,XI-IATI-IADB,,1,Activity,"Brazil,Se",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"49.6026265, 6.1338866",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,REFORM / MODERNIZATION OF THE STATE
533979,iadb-br,289630.location.0,289630,289630,iadb,XI-IATI-IADB-BR-L1315,XI-IATI-IADB,,1,Activity,"Brazil,Campo",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-12.49886, -38.2441342",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,TRANSPORT
533980,iadb-br,289630.location.1,289630,289630,iadb,XI-IATI-IADB-BR-L1315,XI-IATI-IADB,,1,Activity,"Brazil,Se",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"49.6026265, 6.1338866",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,TRANSPORT
533981,iadb-br,289631.location.0,289631,289631,iadb,XI-IATI-IADB-BR-L1402,XI-IATI-IADB,,1,Activity,"Brazil,Santo Andr ",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-23.6533509, -46.5279039",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,TRANSPORT
533982,iadb-br,289631.location.1,289631,289631,iadb,XI-IATI-IADB-BR-L1402,XI-IATI-IADB,,1,Activity,"Brazil,Santo Andr ,Santo Andr ",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-23.6521042, -46.5281802",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,TRANSPORT
533983,iadb-br,289631.location.2,289631,289631,iadb,XI-IATI-IADB-BR-L1402,XI-IATI-IADB,,1,Activity,"Brazil,Santos",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-23.9335988, -46.3286399",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,TRANSPORT
533984,iadb-br,289631.location.3,289631,289631,iadb,XI-IATI-IADB-BR-L1402,XI-IATI-IADB,,1,Activity,"Brazil,Santos,Santo Andr ",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-16.7209537, -43.8702097",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,TRANSPORT
533985,iadb-br,289631.location.4,289631,289631,iadb,XI-IATI-IADB-BR-L1402,XI-IATI-IADB,,1,Activity,"Brazil,Santos,Santos",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-23.86466765, -46.2902656548411",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,TRANSPORT
533986,iadb-br,289631.location.5,289631,289631,iadb,XI-IATI-IADB-BR-L1402,XI-IATI-IADB,,1,Activity,"Brazil,S o Paulo",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-1.2043218, -47.1583944",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,TRANSPORT
